q_soc,q_vrc,r,mae,rmse,bias,nis_mean,nis_median,nis_exceed_3_84,nis_exceed_6_63,n_samples,score
1e-09,1e-05,3e-05,0.0012029389708119321,0.001620647883613539,-0.0007694621549418886,0.05076302694059845,0.017323799294358507,0.0,0.0,93426,1.1113017614207554
1e-07,1e-06,3e-05,0.0006412725121848936,0.001650291300912232,-0.00017634842292205496,0.05576354711493435,0.006145051983129929,0.0023226938967739175,0.0019480658489071565,93426,1.112374995773583
1e-06,3e-05,0.0001,0.00046401977844817574,0.0011861648861495658,-0.00014634002009594386,0.005584060393502212,0.000626392215431459,0.0,0.0,93426,1.1130324282214543
5e-07,3e-06,1e-05,0.00037291302056605217,0.0014933801254679636,-0.00011512532281681731,0.038887602714079525,0.00295511001340552,0.0021621390191167342,0.0017768073127394943,93426,1.1133082866550148
1e-07,1e-07,3e-05,0.000679025075880146,0.0018432509943017935,-0.00018066216250815805,0.0717896254385587,0.007479685787755321,0.002451137798899664,0.0021407317020957764,93426,1.115901774593166
1e-06,1e-05,1e-05,0.0003432147588328791,0.0013395570773621721,-0.00010600472123090742,0.018307231088987616,0.0014925011951461217,0.0015627341425299168,0.0008669963393487894,93426,1.1172968400578434
5e-07,1e-06,1e-05,0.00039250964704549594,0.0016547736151311828,-0.00011917847459767239,0.049684532779523845,0.003950860619161436,0.002269175604221523,0.0018731402393338042,93426,1.118800556775039
5e-07,1e-07,1e-05,0.00042277015619518937,0.0017462055739394195,-0.00012068392281644238,0.05788850299012245,0.005568136790149169,0.0023119902382634384,0.0019694731659281144,93426,1.1198575226888792
1e-09,3e-05,3e-05,0.0010459685504871936,0.001497276138343176,-0.0007572206175895104,0.029082848470087373,0.0072079374004310765,0.0,0.0,93426,1.1206447653642302
1e-07,1e-05,0.0001,0.0008162202788936701,0.0013615291778770907,-0.0002442900225019468,0.012950144737828427,0.0030948870308607425,0.00016055487765718324,0.0,93426,1.1232830504887092
1e-08,3e-05,0.0001,0.0010242765801155582,0.001343678986890775,-0.000600819183552955,0.010757877319798385,0.004422515350625858,0.0,0.0,93426,1.123610021369279
1e-06,1e-05,3e-05,0.00038744919438236236,0.0013939585368935195,-0.0001215057243139575,0.014476164467510539,0.0011297607275758796,0.0013272536552993814,0.0005994048765868173,93426,1.126182720926078
5e-07,3e-06,3e-05,0.0004449651289460612,0.0015602522348355078,-0.0001362083663090035,0.02746086803382166,0.002071574437090117,0.0018838438978442831,0.0014771048744460858,93426,1.1309833822730975
5e-07,1e-05,0.0001,0.0005621158912963488,0.0014329805664103933,-0.00017277136192361491,0.010953476879499203,0.0011998701930477033,0.0008455890223278316,0.0,93426,1.132767374272704
1e-06,3e-06,1e-05,0.00035810969369528563,0.0015935777469655292,-0.00011241440013367711,0.027604982210403764,0.0023099561698041587,0.0018303256052918887,0.0013914756063622546,93426,1.1340594308951573
5e-07,3e-05,0.0003,0.000737846661867551,0.0013846951734005483,-0.0002385738489015374,0.0042535336881663575,0.0007816086719855742,0.0,0.0,93426,1.1342159836518884
1e-06,3e-05,0.0003,0.0006249828945426352,0.001412864831539036,-0.00020046649227768685,0.003941281791897859,0.0005154882459410876,0.0,0.0,93426,1.1373452013620058
5e-07,1e-06,3e-05,0.0004678991307375182,0.0016984599847531224,-0.00013922896938505414,0.03345759403205091,0.00256353630370899,0.002087213409543382,0.0016055487765718323,93426,1.1390375599246048
1e-06,1e-06,1e-05,0.0003741437770998748,0.0016915432344005435,-0.00011442988091537099,0.03241583182805825,0.003120809736147225,0.0019373621903966776,0.0015092158499775223,93426,1.139216388557172
1e-06,1e-07,1e-05,0.00039410444527052964,0.001742864707632271,-0.0001150244206541139,0.035988927798152756,0.004065649440704578,0.0019694731659281144,0.001541326825508959,93426,1.1408236063735473
1e-06,1e-05,0.0001,0.0004886663474157983,0.0015100859405090365,-0.00015365195182147085,0.009680350390008037,0.000803806323389834,0.0007920707297754372,0.0,93426,1.1417242790257833
1e-07,3e-05,0.0003,0.0010213504739492033,0.0014803983330014267,-0.00038673092071033014,0.005380266458795339,0.0016384050931237321,0.0,0.0,93426,1.1426595668413473
5e-07,1e-07,3e-05,0.0004968046396728243,0.0017754909921305028,-0.00014019243867071868,0.037492727970123714,0.0031998447912915916,0.0021300280435852977,0.0017018817031661422,93426,1.1428232669678853
1e-06,3e-06,3e-05,0.0004096735933403669,0.0016273667681934003,-0.00012726084857178285,0.020673258715222954,0.0015346521928527282,0.0017018817031661422,0.0011238841436002826,93426,1.1440382430993006
